_id,Summary
67299dbda23f7e5639814e0e,Tests the internal HTTP request by verifying that the requests generated by the `HttpClient` match the expected requests for each supported HTTP method.
67299dbda23f7e5639814e0f,"Notifies the response listener of a definitive failure, tracking the exception and invoking the onFailure callback with the tracked exception."
67299dbda23f7e5639814e10,"Tracks the given exception as a failure, updating the current exception and adding it to the suppressed exceptions list."
67299dbda23f7e5639814e11,Overrides to configure REST client settings with a basic authentication header using admin credentials.
67299dbda23f7e5639814e12,Runs a given script and returns the result of its execution.
67299dbda23f7e5639814e13,Runs a container based on the provided distribution using default Docker run configuration.
67299dbda23f7e5639814e14,Runs a containerized Elasticsearch installation using the provided distribution and Docker run configuration.
67299dbda23f7e5639814e15,"Creates an iterable of parameters based on the provided NamedXContentRegistry, delegating to a variant that allows for additional configuration."
67299dbda23f7e5639814e16,"Starts initializing shards and rerouting as part of the shard initialization process based on the provided allocation service, cluster state, and routing node."
67299dbda23f7e5639814e17,Establishes a connection to a specified discovery node using the provided transport service.
67299dbda23f7e5639814e18,"Stops a randomly selected data node and its associated client, returning true if successful or false if no node is available."
67299dbda23f7e5639814e19,Sets up a TransportService instance with a ThreadPoolExecutor and returns it after configuring mock returns.
67299dbda23f7e5639814e1a,"Renames the method to ""rewriteQuery"" and provides a one sentence summary: Rewrites the provided query builder within the context of the given search execution context, verifying its serializability before returning the result."
67299dbda23f7e5639814e1b,Asserts that the provided code block keeps the thread busy for at least a default duration of 10 seconds.
67299dbda23f7e5639814e1c,"Returns a string representing the range of ports allocated for worker processes in the format ""firstPort-lastPort""."
67299dbda23f7e5639814e1d,"Returns an instance of SecureRandom configured to operate in FIPS mode, utilizing a cryptographically secure random byte array as its seed."
67299dbda23f7e5639814e1e,Creates an instance of IndexService for the specified index with default settings.
67299dbda23f7e5639814e1f,Adds unresponsive rules to all the transport addresses associated with the given TransportService for the specified duration.
67299dbda23f7e5639814e20,Ensures that the provided InternalTestCluster is in a healthy state by verifying its node count and connectivity.
67299dbda23f7e5639814e21,Waits for all pending tasks associated with the given RestClient to complete.
67299dbda23f7e5639814e22,Determines whether the feature states can be reset based on the cluster's support for feature state reset and machine learning configuration.
67299dbda23f7e5639814e23,"Returns the settings used for admin REST operations, defaulting to the same settings as the standard REST client."
67299dbda23f7e5639814e24,"Updates the cluster settings using the provided settings object, potentially throwing an IOException if the operation fails."
67299dbda23f7e5639814e25,Dispatches a REST request to the controller using a fake channel and thread context.
67299dbda23f7e5639814e26,"Looks up a binary method handle for the given operation name, applicable to the specified classes."
67299dbda23f7e5639814e27,"Returns a MethodHandle that normalizes the index for accessing elements of the given class, which must be an array or implement List or Map."
67299dbda23f7e5639814e28,Finds and returns the result of applying the given function to each element in the specified collection.
67299dbda23f7e5639814e29,Checks the given expression node against the provided semantic scope and throws an exception if the node's type is not resolvable or does not match the expected value type.
67299dbda23f7e5639814e2a,Adds an additional field to the provided map if the specified property is valid and the given value is not empty.
67299dbda23f7e5639814e2b,Sets whether unmapped fields or properties should be ignored and returns the current instance of HasParentQueryBuilder.
67299dbda23f7e5639814e2c,Tests that the decode and encode operations of ScaledFloatFieldMapper are inverses of each other.
67299dbda23f7e5639814e2d,Stops the APM server instance and releases any associated resources.
67299dbda23f7e5639814e2e,"Deletes the file or directory at the specified path, handling interruptions by re-throwing as an IOException."
67299dbda23f7e5639814e2f,Synchronizes the file system links between a source and destination root directory by creating hard links in the destination directory that point to files in the source directory.
67299dbda23f7e5639814e30,"Registers a new OAuth client with randomly generated client ID, secret, and redirect URI before running the test class."
67299dbda23f7e5639814e31,"Pauses the current execution and cancels any queued tasks, logging the reason for pause and number of cancelled tasks."
67299dbda23f7e5639814e32,"Clears the previously allocated shard IDs and returns true if any IDs were cleared, false otherwise."
67299dbda23f7e5639814e33,"* Called after an indexing operation has completed, logging a debug message if the indexed document is being watched and an exception occurred."
67299dbda23f7e5639814e34,Prepares the given delete operation for execution by removing any associated watches from the trigger service if the index being deleted is a watched document.
67299dbda23f7e5639814e35,Filters the given settings to only include those that are allowed to be set by the user.
67299dbda23f7e5639814e36,Registers an ExecutionService.WatchExecution instance with the specified identifier if no such registration already exists and current executions are not sealed.
67299dbda23f7e5639814e37,"Pauses the execution and clears any pending tasks, notifying the provided listener when the pause operation is complete."
67299dbda23f7e5639814e38,"Clears the current executions and task queue, invoking the provided listener when execution is stopped, and returns the number of tasks that were cancelled from the queue."
67299dbda23f7e5639814e39,Creates a tuple of triggered watches and their corresponding execution contexts based on the provided trigger events.
67299dbda23f7e5639814e3a,"Clears the current executions and initiates stopping of all existing executions in the background, notifying the provided listener when the process is complete."
67299dbda23f7e5639814e3b,"Retrieves the IndexMetadata for a concrete index associated with the given name, handling both alias and non-alias indices."
67299dbda23f7e5639814e3c,Checks the given time against the current scheduled time and returns the previous scheduled time or -1 if the given time is before the currently scheduled time.
67299dbda23f7e5639814e3d,"Removes an object from a map and returns it as the specified type if assignment is possible, otherwise throws an exception."
67299dbda23f7e5639814e3e,Moves the model ID from the task settings to the service settings if it does not already exist in the service settings.
67299dbda23f7e5639814e3f,Positions the given XContentParser at the token immediately after the specified field.
67299dbda23f7e5639814e40,Calculates the time required to reserve a specified number of tokens and returns it as a TimeValue object.
67299dbda23f7e5639814e41,Reserves a specified number of tokens and returns the time value until the reserved tokens will be available.
67299dbda23f7e5639814e42,Tests that the shard status is set to complete when a non-data node is shut down and removed from the cluster.
67299dbda23f7e5639814e43,Synchronously renews a retention lease by delegating to the asynchronous version and waiting for its completion.
67299dbda23f7e5639814e44,"Validates that the provided leader index settings and follower index settings are identical, with certain allowed differences removed."
67299dbda23f7e5639814e45,Returns a view of the given list with optional offset and limit applied.
67299dbda23f7e5639814e46,Determines whether there are candidates to be processed at the specified stage.
67299dbda23f7e5639814e47,"Extracts a substring from the given string that lies between two specified strings, with optional greedy and case-insensitive matching."
67299dbda23f7e5639814e48,Marks a policy retrieval error for the given index by logging the exception and recording it in the step info.
67299dbda23f7e5639814e49,Asynchronously records an ILMHistoryItem for indexing if lifecycle history is enabled.
67299dbda23f7e5639814e4a,Finds the best rollup jobs for an aggregation source from a given set of job capabilities.
67299dbda23f7e5639814e4b,"Freezes the clock at its current time, allowing it to be used in a static state for testing purposes."
67299dbda23f7e5639814e4c,"Unfreezes the clock, resetting it to the current system time in the specified zone."
67299dbda23f7e5639814e4d,Fast forwards the media playback by the specified number of seconds.
67299dbda23f7e5639814e4e,Rewinds the media by the specified number of seconds.
67299dbda23f7e5639814e4f,Returns whether the current status is active.
67299dbda23f7e5639814e50,"Checks if the given license state allows tracking and starts it if allowed, returning true on success and false otherwise."
67299dbda23f7e5639814e51,Checks if the current object is allowed based on the provided XPack license state without tracking any additional information.
67299dbda23f7e5639814e52,"Updates the internal state with the given condition and timestamp, resetting action acknowledgement statuses if the condition is not met."
67299dbda23f7e5639814e53,Creates a rounding object prepared with the specified interval and time zone.
67299dbda23f7e5639814e54,Checks if the given mathematical expression is valid without throwing an exception.
67299dbda23f7e5639814e55,"Creates a write response based on the provided document ID, headers, and response object, notifying the specified listener upon completion."
