67299dbda23f7e5639814e0e,Tests the internal HTTP request functionality by verifying that the actual HTTP requests generated match the expected requests for various HTTP methods.
67299dbda23f7e5639814e0f,Handles a definitive failure by tracking the exception and notifying the response listener of the failure.
67299dbda23f7e5639814e10,Tracks a failure by updating the current exception and adding the previous exception to the suppressed list if applicable.
67299dbda23f7e5639814e11,Overrides the `restClientSettings` method to configure authentication settings for the REST client using basic authentication with a predefined username and password.
67299dbda23f7e5639814e12,"Executes a given script using the appropriate command for the operating system and returns the result, throwing an exception if the execution is unsuccessful."
67299dbda23f7e5639814e13,Runs an Elasticsearch container with the specified distribution and returns the installation details.
67299dbda23f7e5639814e14,"Runs a Docker container for the specified Elasticsearch distribution, waits for it to start, and returns the installation details."
67299dbda23f7e5639814e15,Creates an iterable of parameter arrays using the provided NamedXContentRegistry.
67299dbda23f7e5639814e16,Starts the initializing shards on a given routing node and triggers a cluster reroute.
67299dbda23f7e5639814e17,Establishes a connection to the specified discovery node using the provided transport service.
67299dbda23f7e5639814e18,Stops a random data node if available and returns whether a node was stopped.
67299dbda23f7e5639814e19,"Sets up a mock `TransportService` with a mock `ThreadPool`, configuring the thread pool to use a direct executor service for execution."
67299dbda23f7e5639814e1a,Rewrites the given query using the provided shard rewrite context and ensures the rewritten query is serializable.
67299dbda23f7e5639814e1b,Retries the execution of a code block until it succeeds or a default timeout is reached.
67299dbda23f7e5639814e1c,"Returns a string representation of the port range allocated for a worker, based on the worker's base port and the number of ports per worker."
67299dbda23f7e5639814e1d,"Returns a non-deterministic SecureRandom instance configured for FIPS compliance, using a randomly generated 32-byte seed."
67299dbda23f7e5639814e1e,Creates an index with the specified name using default settings.
67299dbda23f7e5639814e1f,Adds an unresponsive rule for all transport addresses associated with the given transport service for a specified duration.
67299dbda23f7e5639814e20,"Ensures that the test cluster is healthy by verifying that there is no active disruption, confirming the expected number of nodes are present, and ensuring all nodes are fully connected."
67299dbda23f7e5639814e21,"Waits for all pending tasks on the specified RestClient to complete, excluding tasks filtered by the default predicate."
67299dbda23f7e5639814e22,Determines if feature states can be reset based on cluster capabilities and machine learning settings.
67299dbda23f7e5639814e23,"Returns the default admin settings for the REST client, utilizing basic authentication with admin credentials."
67299dbda23f7e5639814e24,Updates the cluster settings using the provided settings object.
67299dbda23f7e5639814e25,"Dispatches a REST request using a fake channel, ensuring the thread context is preserved and the response is properly released."
67299dbda23f7e5639814e26,"Looks up a binary operator method handle for the specified classes and operator name, applying type promotion and unboxing rules."
67299dbda23f7e5639814e27,"Determines the appropriate MethodHandle for normalizing index access based on the type of the receiver class, supporting arrays, maps, and lists."
